Date,Price,NAV
13.12.2006,12724.86,2850406182.81
14.12.2006,12721.35,2848065329.2
15.12.2006,12716.35,2866635060.6
18.12.2006,12726.57,2875439151.25
19.12.2006,12728.01,2885415062.25
20.12.2006,12731.46,2904512303.95
21.12.2006,12733.87,2889962810.25
22.12.2006,12737.42,2888238124.22
25.12.2006,12740.0,2874814085.94
26.12.2006,12751.48,2905265862.19
27.12.2006,12763.84,2930842226.45
28.12.2006,12767.67,2902850083.19
29.12.2006,12782.3,2901402826.42
09.01.2007,12872.4,2919730726.94
10.01.2007,12859.14,2927935205.62
11.01.2007,12850.8,2926110827.34
12.01.2007,12852.25,3071529122.98
15.01.2007,12855.71,3077146684.48
16.01.2007,12849.04,3080687534.0
17.01.2007,12852.35,3065223170.93
18.01.2007,12850.49,3053642454.91
19.01.2007,12849.95,3040697246.85
22.01.2007,12857.75,3033637927.99
23.01.2007,12860.88,3040550955.44
24.01.2007,12863.44,3012912246.66
25.01.2007,12870.31,2995844341.16
26.01.2007,12870.44,2974832643.65
29.01.2007,12880.4,2947093848.84
30.01.2007,12882.92,2952412365.01
31.01.2007,12876.56,2954947677.69
01.02.2007,12886.43,2941734826.2
02.02.2007,12886.9,2922341937.81
05.02.2007,12901.8,2893959625.44
06.02.2007,12905.73,2890808291.07
07.02.2007,12911.96,2908193022.61
08.02.2007,12917.47,2908931919.0
09.02.2007,12927.34,2906870251.32
12.02.2007,12933.0,2867643764.0
13.02.2007,12934.45,2888430483.61
14.02.2007,12941.5,2888273232.12
15.02.2007,12955.48,2872571750.57
16.02.2007,12967.51,2770185091.93
19.02.2007,12973.68,2754956349.97
20.02.2007,12980.13,2762933297.03
21.02.2007,12982.67,2768750577.19
22.02.2007,12980.94,2770054710.52
26.02.2007,12992.17,2762631354.74
27.02.2007,13001.18,2785223391.81
28.02.2007,13000.77,2786361876.46
01.03.2007,13000.9,2781321654.42
02.03.2007,13000.82,2787906810.19
05.03.2007,13005.37,2801565886.12
06.03.2007,13007.2,2819642916.47
07.03.2007,13007.62,2832916305.99
09.03.2007,13016.93,2718688651.38
12.03.2007,13025.11,2712206227.09
13.03.2007,13030.79,2701471418.11
14.03.2007,13030.99,2687528942.32
15.03.2007,13034.36,2689570811.09
16.03.2007,13040.56,2658623886.68
19.03.2007,13050.0,2674344815.56
20.03.2007,13057.02,2675733484.92
21.03.2007,13058.86,2656803719.68
22.03.2007,13065.15,2658673967.25
23.03.2007,13068.28,2636929708.38
26.03.2007,13080.45,2564882076.98
27.03.2007,13084.01,2565990325.58
28.03.2007,13092.86,2560347399.86
29.03.2007,13099.66,2551233447.0
30.03.2007,13103.54,2552831932.77
02.04.2007,13111.1,2550918752.74
03.04.2007,13115.36,2554695307.36
04.04.2007,13120.49,2588624730.0
05.04.2007,13124.61,2554481000.86
06.04.2007,13127.6,2562006700.94
09.04.2007,13139.91,2563876706.87
10.04.2007,13145.4,2565264520.0
11.04.2007,13152.25,2578473737.23
12.04.2007,13167.58,2584016220.0
13.04.2007,13176.06,2608583886.0
16.04.2007,13173.14,2507176746.3
17.04.2007,13184.11,2531311077.33
18.04.2007,13181.82,2570015446.0
19.04.2007,13189.17,2596179852.8
20.04.2007,13196.92,2602309471.46
23.04.2007,13208.84,2589851785.0
24.04.2007,13212.94,2616864579.54
25.04.2007,13224.04,2622601904.12
26.04.2007,13225.0,2634983395.59
27.04.2007,13233.34,2640421740.01
28.04.2007,13235.47,2625488207.32
02.05.2007,13251.86,2595142087.63
03.05.2007,13253.19,2603320676.04
04.05.2007,13260.08,2601955830.33
07.05.2007,13271.72,2594496123.24
08.05.2007,13285.98,2599237234.77
10.05.2007,13292.11,2580744613.24
11.05.2007,13301.89,2594671382.84
14.05.2007,13307.68,2570615189.45
15.05.2007,13313.41,2571733767.98
16.05.2007,13315.58,2609535266.61
17.05.2007,13318.03,2610315107.19
18.05.2007,13325.92,2616791194.93
21.05.2007,13338.88,2572711352.34
22.05.2007,13348.4,2576808574.35
23.05.2007,13350.87,2559961164.33
24.05.2007,13359.23,2539989074.48
25.05.2007,13360.27,2540556187.88
28.05.2007,13370.51,2507524050.0
29.05.2007,13368.1,2530341290.29
30.05.2007,13377.25,2535948205.29
31.05.2007,13386.71,2529623892.83
01.06.2007,13382.84,2446227872.81
04.06.2007,13392.01,2440368326.0
05.06.2007,13403.87,2450830359.3
06.06.2007,13405.8,2434930086.9
07.06.2007,13402.53,2423561648.0
08.06.2007,13400.92,2415948849.0
09.06.2007,13407.1,2407126950.38
13.06.2007,13418.8,2399529712.65
14.06.2007,13417.43,2402098649.47
15.06.2007,13418.85,2389781178.69
18.06.2007,13429.81,2346242253.41
19.06.2007,13440.6,2353279831.22
20.06.2007,13442.9,2346935095.0
21.06.2007,13447.16,2346546985.76
22.06.2007,13448.84,2338720409.19
25.06.2007,13452.87,2336750938.79
26.06.2007,13457.03,2353446198.97
27.06.2007,13454.4,2266449786.33
28.06.2007,13456.15,2290393022.48
29.06.2007,13459.88,2300429769.91
02.07.2007,13469.99,2284525511.62
03.07.2007,13476.15,2305561867.01
04.07.2007,13479.01,2322141684.0
05.07.2007,13484.71,2335463670.51
06.07.2007,13487.61,2338048605.06
09.07.2007,13495.72,2339040058.92
10.07.2007,13498.75,2372790146.66
11.07.2007,13503.41,2397870882.0
12.07.2007,13506.34,2418362708.37
13.07.2007,13511.06,2440034874.21
16.07.2007,13511.03,2435414008.84
17.07.2007,13515.54,2453293663.21
18.07.2007,13526.52,2516325857.93
19.07.2007,13527.25,2548785904.94
20.07.2007,13531.11,2576153523.9
23.07.2007,13538.5,2516413274.75
24.07.2007,13539.57,2597845389.53
25.07.2007,13548.65,2623805178.0
26.07.2007,13551.38,2664104734.84
27.07.2007,13556.43,2696259196.07
30.07.2007,13548.74,2657545473.89
31.07.2007,13559.79,2699284994.72
01.08.2007,13549.83,2735269916.24
02.08.2007,13554.44,2765791919.9
03.08.2007,13559.89,2760483868.61
06.08.2007,13581.66,2773764160.85
07.08.2007,13580.18,2783222988.97
08.08.2007,13599.77,2797557912.02
09.08.2007,13591.98,2801200447.55
10.08.2007,13591.29,2754409483.14
13.08.2007,13598.76,2706921607.12
14.08.2007,13595.14,2705224040.88
15.08.2007,13595.5,2724994203.06
16.08.2007,13581.88,2727650645.09
17.08.2007,13585.48,2733125271.22
20.08.2007,13581.46,2664232585.14
21.08.2007,13565.49,2646259399.03
22.08.2007,13540.79,2628536063.49
23.08.2007,13525.63,2576055955.0
24.08.2007,13513.37,2547416516.12
27.08.2007,13508.33,2483064928.06
28.08.2007,13527.66,2489320667.72
29.08.2007,13529.5,2474845462.13
30.08.2007,13531.9,2464970329.74
31.08.2007,13538.7,2463952529.71
03.09.2007,13548.86,2459191408.79
04.09.2007,13543.88,2452913024.63
05.09.2007,13538.14,2436643332.33
06.09.2007,13526.03,2429810018.91
07.09.2007,13522.65,2410462806.14
10.09.2007,13523.92,2390331685.13
11.09.2007,13519.57,2389934941.27
12.09.2007,13518.34,2397249742.73
13.09.2007,13523.44,2389391616.47
14.09.2007,13500.63,2386317729.82
17.09.2007,13466.46,2367485970.7
18.09.2007,13444.0,2361020443.83
19.09.2007,13444.27,2357857368.05
20.09.2007,13422.61,2350749676.61
21.09.2007,13400.25,2317902947.0
24.09.2007,13410.91,2268512747.86
25.09.2007,13423.59,2329062420.35
26.09.2007,13425.42,2380043644.78
27.09.2007,13416.11,2346970801.13
28.09.2007,13443.2,2274705370.57
01.10.2007,13433.39,2173120039.8
02.10.2007,13436.79,2178563518.88
03.10.2007,13422.6,2186114826.64
04.10.2007,13442.22,2186562331.03
05.10.2007,13414.8,2182533556.37
08.10.2007,13461.8,2217846922.18
09.10.2007,13470.21,2239203914.52
10.10.2007,13471.89,2261635644.44
11.10.2007,13461.53,2269702676.22
12.10.2007,13507.18,2316630352.78
15.10.2007,13510.35,2343569571.55
16.10.2007,13523.49,2380633596.5
17.10.2007,13538.13,2431390705.63
18.10.2007,13548.82,2454854824.2
19.10.2007,13567.85,2501866052.09
22.10.2007,13577.65,2506769828.95
23.10.2007,13585.62,2530190659.06
24.10.2007,13588.95,2558678311.54
25.10.2007,13599.02,2570314878.08
26.10.2007,13607.21,2590616143.5
29.10.2007,13613.12,2534760377.0
30.10.2007,13624.29,2534131075.66
31.10.2007,13628.47,2548061542.92
01.11.2007,13613.68,2529733829.27
02.11.2007,13636.93,2519928273.76
06.11.2007,13650.1,2465024974.31
07.11.2007,13649.02,2470892512.71
08.11.2007,13622.54,2507566594.93
09.11.2007,13661.51,2525996166.2
12.11.2007,13662.05,2510150458.5
13.11.2007,13659.82,2539323326.66
14.11.2007,13661.66,2621679739.83
15.11.2007,13655.99,2654606213.65
16.11.2007,13685.3,2625275712.38
19.11.2007,13694.06,2590973746.74
20.11.2007,13694.24,2575995714.55
21.11.2007,13695.06,2587737647.62
22.11.2007,13688.62,2531918709.26
23.11.2007,13695.79,2516438712.67
26.11.2007,13681.51,2435796162.46
27.11.2007,13679.93,2400889058.21
28.11.2007,13682.79,2350402327.0
29.11.2007,13702.4,2310363060.49
30.11.2007,13720.33,2270813092.03
03.12.2007,13726.58,2225342358.5
