time,close
2019-08-05,34847.89
2019-08-06,34883.9
2019-08-07,34856.21
2019-08-08,34848.52
2019-08-09,34840.15
2019-08-12,34826.44
2019-08-13,34945.49
2019-08-14,34939.51
2019-08-15,34881.54
2019-08-16,34951.79
2019-08-19,34966.51
2019-08-20,34985.85
2019-08-21,35025.15
2019-08-22,35070.26
2019-08-23,35070.23
2019-08-26,35080.57
2019-08-27,35078.34
2019-08-28,35092.77
2019-08-29,35078.54
2019-08-30,35077.51
2019-09-02,35120.82
2019-09-03,35109.47
2019-09-04,35165.91
2019-09-05,35276.92
2019-09-06,35309.41
2019-09-09,35386.27
2019-09-10,35409.65
2019-09-11,35415.2
2019-09-12,35445.39
2019-09-13,35616.48
2019-09-16,35493.46
2019-09-17,35435.14
2019-09-18,35445.91
2019-09-19,35473.66
2019-09-20,35450.41
2019-09-23,35512.64
2019-09-24,35553.36
2019-09-25,35521.9
2019-09-26,35535.02
2019-09-27,35562.38
2019-09-30,35565.43
2019-10-01,35601.9
2019-10-02,35614.21
2019-10-03,35626.76
2019-10-04,35635.63
2019-10-07,35667.91
2019-10-08,35704.01
2019-10-09,35706.06
2019-10-10,35740.73
2019-10-11,35798.57
2019-10-14,35880.52
2019-10-15,35879.12
2019-10-16,35880.95
2019-10-17,35901.28
2019-10-18,35951.61
2019-10-21,36046.88
2019-10-22,36059.8
2019-10-23,36137.65
2019-10-24,36103.03
2019-10-25,36150.15
2019-10-28,36214.8
2019-10-29,36245.54
2019-10-30,36223.12
2019-10-31,36257.86
2019-11-01,36261.88
2019-11-05,36266.63
2019-11-06,36277.46
2019-11-07,36320.23
2019-11-08,36333.16
2019-11-11,36317.83
2019-11-12,36273.92
2019-11-13,36312.79
2019-11-14,36314.41
2019-11-15,36365.29
2019-11-18,36369.49
2019-11-19,36395.17
2019-11-20,36419.13
2019-11-21,36407.16
2019-11-22,36417.93
2019-11-25,36408.81
2019-11-26,36476.09
2019-11-27,36478.72
2019-11-28,36427.9
2019-11-29,36453.84
2019-12-02,36485.94
2019-12-03,36442.15
2019-12-04,36502.01
2019-12-05,36531.36
2019-12-06,36547.99
2019-12-09,36589.74
2019-12-10,36574.3
2019-12-11,36591.49
2019-12-12,36627.68
2019-12-13,36646.6
2019-12-16,36678.44
2019-12-17,36693.4
2019-12-18,36693.47
2019-12-19,36715.58
2019-12-20,36723.6
2019-12-23,36770.87
2019-12-24,36764.98
2019-12-25,36752.94
2019-12-26,36814.32
2019-12-27,36861.06
2019-12-30,36922.0
2019-12-31,36927.53
2020-01-09,37022.52
2020-01-10,37050.77
2020-01-13,37048.17
2020-01-14,37068.64
2020-01-15,37160.34
2020-01-16,37164.18
2020-01-17,37205.29
2020-01-20,37210.3
2020-01-21,37228.4
2020-01-22,37237.03
2020-01-23,37269.48
2020-01-24,37272.81
2020-01-27,37242.52
2020-01-28,37235.27
2020-01-29,37256.35
2020-01-30,37271.94
2020-01-31,37293.51
2020-02-03,37398.39
2020-02-04,37297.15
2020-02-05,37305.09
2020-02-06,37326.54
2020-02-07,37378.86
2020-02-10,37425.2
2020-02-11,37475.36
2020-02-12,37516.04
2020-02-13,37529.05
2020-02-14,37556.29
2020-02-17,37600.87
2020-02-18,37586.41
2020-02-19,37622.0
2020-02-20,37667.56
2020-02-21,37686.33
2020-02-25,37677.87
2020-02-26,37650.72
2020-02-27,37605.2
2020-02-28,37275.42
2020-03-02,37425.99
2020-03-03,37406.48
2020-03-04,37572.78
2020-03-05,37587.24
2020-03-06,37446.06
2020-03-10,36891.79
2020-03-11,37032.89
2020-03-12,36406.25
2020-03-13,36367.51
2020-03-16,36087.29
2020-03-17,35978.03
2020-03-18,35494.9
2020-03-19,35300.92
2020-03-20,36024.35
2020-03-23,36055.98
2020-03-24,36419.66
2020-03-25,36589.53
2020-03-26,36436.87
2020-03-27,36540.17
2020-03-30,36552.32
2020-03-31,36737.73
2020-04-01,36714.45
2020-04-02,36800.24
2020-04-03,36828.77
2020-04-06,36932.3
2020-04-07,37077.92
2020-04-08,37111.38
2020-04-09,37172.41
2020-04-10,37196.0
2020-04-13,37233.93
2020-04-14,37319.38
2020-04-15,37283.32
2020-04-16,37253.98
2020-04-17,37363.87
2020-04-20,37565.85
2020-04-21,37466.92
2020-04-22,37593.08
2020-04-23,37757.97
2020-04-24,37784.96
2020-04-27,37963.96
2020-04-28,37995.41
2020-04-29,37998.27
2020-04-30,38085.03
2020-05-06,38157.89
2020-05-07,38172.86
2020-05-08,38213.68
2020-05-12,38262.92
